danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,preview_url,cover_url,name,artist
0.582,0.525,1,-7.163,0,0.0627,0.111,0.0,0.134,0.51,133.249,audio_features,2Ch7LmS7r2Gy2kc64wv3Bz,https://api.spotify.com/v1/tracks/2Ch7LmS7r2Gy2kc64wv3Bz,https://api.spotify.com/v1/audio-analysis/2Ch7LmS7r2Gy2kc64wv3Bz,260253,4,,https://i.scdn.co/image/ab67616d0000b2734718e2b124f79258be7bc452,Die For You,The Weeknd
0.784,0.554,7,-6.417,1,0.03,0.00548,0.254,0.0995,0.634,104.01,audio_features,4riDfclV7kPDT9D58FpmHd,https://api.spotify.com/v1/tracks/4riDfclV7kPDT9D58FpmHd,https://api.spotify.com/v1/audio-analysis/4riDfclV7kPDT9D58FpmHd,118393,4,https://p.scdn.co/mp3-preview/eaba4c4906e1d17582009dd2d8e669ec7f1e72fa?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b2737c0c6c1cfac7464b6211587d,Some,Steve Lacy
0.559,0.578,8,-9.54,1,0.151,0.79,0.000522,0.324,0.239,79.938,audio_features,5WNYg3usc6H8N3MBEp4zVk,https://api.spotify.com/v1/tracks/5WNYg3usc6H8N3MBEp4zVk,https://api.spotify.com/v1/audio-analysis/5WNYg3usc6H8N3MBEp4zVk,320720,4,https://p.scdn.co/mp3-preview/ee5750bdd065b2bab155601ca00994bcfeee1537?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,Boredom (feat. Rex Orange County & Anna of the North),"Tyler, The Creator"
0.523,0.687,4,-5.066,1,0.375,0.62,0.0,0.139,0.562,78.509,audio_features,1wmQEa5wqsnhBaNNYVwet5,https://api.spotify.com/v1/tracks/1wmQEa5wqsnhBaNNYVwet5,https://api.spotify.com/v1/audio-analysis/1wmQEa5wqsnhBaNNYVwet5,215667,4,https://p.scdn.co/mp3-preview/6f35d21eda7bb860a301f9594be7fc00290d4075?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b273e683466ec5a5a1c3a0a7ed6c,Fine Lines,Jorja Smith
0.448,0.263,11,-11.98,1,0.0373,0.824,1.91e-06,0.106,0.451,109.889,audio_features,0KyzXQhY2yzcb1FYCHkZc2,https://api.spotify.com/v1/tracks/0KyzXQhY2yzcb1FYCHkZc2,https://api.spotify.com/v1/audio-analysis/0KyzXQhY2yzcb1FYCHkZc2,241371,1,https://p.scdn.co/mp3-preview/52815a7486029e8f9f95155b86a3a23a60e33ec2?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b2733138f891f3075c9c5d944037,Blessed,Daniel Caesar
0.614,0.607,3,-7.837,0,0.0346,0.657,0.00124,0.336,0.873,159.763,audio_features,2FUHFEMdXa930HlZVooFPn,https://api.spotify.com/v1/tracks/2FUHFEMdXa930HlZVooFPn,https://api.spotify.com/v1/audio-analysis/2FUHFEMdXa930HlZVooFPn,74334,3,https://p.scdn.co/mp3-preview/5bbc28851fb40abbc2f9d078483ad582ae2729ce?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b2736cde65ace314e9f76a577917,Summer Love,bLAck pARty
0.533,0.333,6,-10.307,1,0.0319,0.762,0.00151,0.142,0.241,120.381,audio_features,3bsudizwvU33xyeuDiJxzD,https://api.spotify.com/v1/tracks/3bsudizwvU33xyeuDiJxzD,https://api.spotify.com/v1/audio-analysis/3bsudizwvU33xyeuDiJxzD,247200,3,,https://i.scdn.co/image/ab67616d0000b273b13665f44e35928d699adceb,Hurtin,Toulouse
0.387,0.218,4,-15.782,0,0.033,0.765,0.000777,0.0704,0.182,144.767,audio_features,1z475z1zRaPvSD5Du0CP7i,https://api.spotify.com/v1/tracks/1z475z1zRaPvSD5Du0CP7i,https://api.spotify.com/v1/audio-analysis/1z475z1zRaPvSD5Du0CP7i,258964,4,https://p.scdn.co/mp3-preview/3f4cd318fe0ac050b936b8aede9399885c698dd6?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b27338758ac6b63eca6e90fa60f2,Quarrel - Edit,Moses Sumney
0.736,0.795,1,-3.299,0,0.0545,0.498,1.21e-06,0.254,0.511,104.066,audio_features,7tr2za8SQg2CI8EDgrdtNl,https://api.spotify.com/v1/tracks/7tr2za8SQg2CI8EDgrdtNl,https://api.spotify.com/v1/audio-analysis/7tr2za8SQg2CI8EDgrdtNl,230813,4,https://p.scdn.co/mp3-preview/d3e8d7ced6e0f3844b8c0309a7d4baad511a3518?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b2734d3fa5ce7ba599f4fd7803ef,Slide (feat. Frank Ocean & Migos),Calvin Harris
0.527,0.334,0,-11.54,1,0.0681,0.643,0.0,0.114,0.186,80.334,audio_features,49sXkAcR5LvOrtq5Qcn5cf,https://api.spotify.com/v1/tracks/49sXkAcR5LvOrtq5Qcn5cf,https://api.spotify.com/v1/audio-analysis/49sXkAcR5LvOrtq5Qcn5cf,276560,3,https://p.scdn.co/mp3-preview/745648d9e9c143e6e8029291905ec78d62915542?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b2730d1d6e9325275f104f8e33f3,Superpower (feat. Frank Ocean),Beyoncé
0.509,0.637,4,-4.83,0,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,audio_features,5oO3drDxtziYU2H1X23ZIp,https://api.spotify.com/v1/tracks/5oO3drDxtziYU2H1X23ZIp,https://api.spotify.com/v1/audio-analysis/5oO3drDxtziYU2H1X23ZIp,224000,3,,https://i.scdn.co/image/ab67616d0000b27333c6b920eabcf4c00d7a1093,Love On The Brain,Rihanna
0.712,0.217,7,-12.944,1,0.0813,0.846,5.61e-05,0.265,0.468,136.986,audio_features,1IlBPaXuM7Fl6tiH9CPQlQ,https://api.spotify.com/v1/tracks/1IlBPaXuM7Fl6tiH9CPQlQ,https://api.spotify.com/v1/audio-analysis/1IlBPaXuM7Fl6tiH9CPQlQ,231448,4,https://p.scdn.co/mp3-preview/d6be663f1f8c85282b57f590ceffbf223651b901?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b27376bdb3bd3df31fee9b798473,Distance,Emily King
0.429,0.736,5,-8.017,1,0.222,0.0696,0.0,0.0852,0.379,89.262,audio_features,5lcyIeEfwZTs8Ajw3kdF7P,https://api.spotify.com/v1/tracks/5lcyIeEfwZTs8Ajw3kdF7P,https://api.spotify.com/v1/audio-analysis/5lcyIeEfwZTs8Ajw3kdF7P,224147,4,,https://i.scdn.co/image/ab67616d0000b2737aede4855f6d0d738012e2e5,Crack Rock,Frank Ocean
0.439,0.144,8,-17.701,1,0.0346,0.841,6.49e-06,0.187,0.246,80.445,audio_features,5YIEsBBvaFfyHAppVoaEcm,https://api.spotify.com/v1/tracks/5YIEsBBvaFfyHAppVoaEcm,https://api.spotify.com/v1/audio-analysis/5YIEsBBvaFfyHAppVoaEcm,159440,4,,https://i.scdn.co/image/ab67616d0000b2731340c9bcb8495adf404fabc5,I Will Follow You,Toulouse
0.606,0.24,3,-7.102,1,0.0369,0.772,0.0,0.0819,0.526,96.792,audio_features,5QTdOvIF2ehBMZpSIIGzIo,https://api.spotify.com/v1/tracks/5QTdOvIF2ehBMZpSIIGzIo,https://api.spotify.com/v1/audio-analysis/5QTdOvIF2ehBMZpSIIGzIo,199210,4,https://p.scdn.co/mp3-preview/26bcdd9dab7ffc3a0adb1e740e5ea0aae0266b9b?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b2739b64833815a10221d0e02b69,Honey,Kehlani
0.694,0.474,6,-12.715,0,0.101,0.762,0.0151,0.118,0.344,100.084,audio_features,2sCOifQkY7rdBX7CENAmDZ,https://api.spotify.com/v1/tracks/2sCOifQkY7rdBX7CENAmDZ,https://api.spotify.com/v1/audio-analysis/2sCOifQkY7rdBX7CENAmDZ,150404,4,https://p.scdn.co/mp3-preview/d48ebeb8e306b9a25fbeee491ae074880e5887b1?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b273fdedf0f20e0159b50f17bbfc,Daydream [Pasture Sessions],All Cows Eat Grass
0.495,0.403,1,-9.731,1,0.301,0.5,0.0,0.7,0.555,140.415,audio_features,0755vnFQZLSgHHWbR1qCjY,https://api.spotify.com/v1/tracks/0755vnFQZLSgHHWbR1qCjY,https://api.spotify.com/v1/audio-analysis/0755vnFQZLSgHHWbR1qCjY,391907,3,https://p.scdn.co/mp3-preview/6cfb3e2c4692a50e5663cc2134b20e146284e28b?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b2730d1d6e9325275f104f8e33f3,Rocket,Beyoncé
0.719,0.615,6,-5.972,1,0.045,0.408,0.000147,0.235,0.465,96.988,audio_features,48EjSdYh8wz2gBxxqzrsLe,https://api.spotify.com/v1/tracks/48EjSdYh8wz2gBxxqzrsLe,https://api.spotify.com/v1/audio-analysis/48EjSdYh8wz2gBxxqzrsLe,250973,4,https://p.scdn.co/mp3-preview/a0d13ea0e7dcd0ccae5f6bf96ce2daede4d2841e?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b2731c4540d0ecafaa45305aa5a0,Cranes in the Sky,Solange
0.722,0.282,5,-7.484,1,0.106,0.373,0.00557,0.147,0.217,91.367,audio_features,58dSdjfEYNSxte1aNVxuNf,https://api.spotify.com/v1/tracks/58dSdjfEYNSxte1aNVxuNf,https://api.spotify.com/v1/audio-analysis/58dSdjfEYNSxte1aNVxuNf,314358,4,https://p.scdn.co/mp3-preview/3e687b3cbd56356f49a388e919255eb28a7cdef6?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b27322b392532bd082d33d74500b,Easy,Mac Ayres
0.473,0.371,4,-10.219,0,0.0405,0.795,0.0,0.109,0.413,75.208,audio_features,4OBZT9EnhYIV17t4pGw7ig,https://api.spotify.com/v1/tracks/4OBZT9EnhYIV17t4pGw7ig,https://api.spotify.com/v1/audio-analysis/4OBZT9EnhYIV17t4pGw7ig,209400,4,https://p.scdn.co/mp3-preview/863e2a899be2340af9b7d84432361d8b47433ba8?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b273b5d9c8de465654c20d77305c,Best Part (feat. Daniel Caesar),H.E.R.
0.666,0.39,5,-8.575,1,0.0838,0.272,9.39e-06,0.111,0.325,113.866,audio_features,3cQmqM0awej9iAESjhKrI9,https://api.spotify.com/v1/tracks/3cQmqM0awej9iAESjhKrI9,https://api.spotify.com/v1/audio-analysis/3cQmqM0awej9iAESjhKrI9,209885,4,https://p.scdn.co/mp3-preview/f39fcbc2075968d41d8e5e1e23e37f3a674db42a?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b273ca158241af817ff9e7a35a4e,Confidently Lost,Sabrina Claudio
0.785,0.379,7,-11.446,1,0.0732,0.391,0.0161,0.267,0.182,122.043,audio_features,6pxElwU80zhjbCC77Vn8EI,https://api.spotify.com/v1/tracks/6pxElwU80zhjbCC77Vn8EI,https://api.spotify.com/v1/audio-analysis/6pxElwU80zhjbCC77Vn8EI,357357,3,https://p.scdn.co/mp3-preview/dce4857fb33b4feea848455dbaa9818566c55bb3?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b2732aebf42d8901fbcd14c9eca8,Movie,Tom Misch
0.772,0.397,7,-8.585,1,0.0391,0.339,0.00541,0.0753,0.617,97.964,audio_features,10vkYRKw6Jjr7try1ir50G,https://api.spotify.com/v1/tracks/10vkYRKw6Jjr7try1ir50G,https://api.spotify.com/v1/audio-analysis/10vkYRKw6Jjr7try1ir50G,172320,4,https://p.scdn.co/mp3-preview/2e1e43ae828e9eca497970140da2bf3e09ec2b44?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b273fec6bb271749b854c35e5f5c,Tired of Being Alone,Al Green
0.274,0.348,5,-8.631,1,0.0293,0.547,0.0133,0.334,0.328,87.43,audio_features,4Hhv2vrOTy89HFRcjU3QOx,https://api.spotify.com/v1/tracks/4Hhv2vrOTy89HFRcjU3QOx,https://api.spotify.com/v1/audio-analysis/4Hhv2vrOTy89HFRcjU3QOx,179693,3,,https://i.scdn.co/image/ab67616d0000b273b2229a8fdf377abaf3652624,At Last,Etta James
0.327,0.139,2,-13.781,0,0.0368,0.86,0.701,0.0674,0.162,66.937,audio_features,63P4lfukhzhuDhCYrj9pe8,https://api.spotify.com/v1/tracks/63P4lfukhzhuDhCYrj9pe8,https://api.spotify.com/v1/audio-analysis/63P4lfukhzhuDhCYrj9pe8,343960,4,,https://i.scdn.co/image/ab67616d0000b273424e3ecd8d284c402fc94397,I’ve Got The World On A String,James Morrison
0.433,0.333,8,-13.725,0,0.0281,0.775,0.937,0.111,0.0478,103.224,audio_features,60xcl76h3doHkoCQAqQvl8,https://api.spotify.com/v1/tracks/60xcl76h3doHkoCQAqQvl8,https://api.spotify.com/v1/audio-analysis/60xcl76h3doHkoCQAqQvl8,330107,4,,https://i.scdn.co/image/ab67616d0000b2738b574649754a8fe0a6ac0aaf,Terminal 7,Tomasz Stanko Quintet
0.393,0.194,1,-17.294,1,0.0388,0.918,0.652,0.114,0.256,105.605,audio_features,0R95IhZkAZly9DzNaES0hv,https://api.spotify.com/v1/tracks/0R95IhZkAZly9DzNaES0hv,https://api.spotify.com/v1/audio-analysis/0R95IhZkAZly9DzNaES0hv,469833,3,,https://i.scdn.co/image/ab67616d0000b27308f5972a2fa504668a906083,In Rememberance Of Things Past,Paul Motian
0.478,0.0294,0,-25.319,1,0.0453,0.993,0.948,0.105,0.148,124.308,audio_features,1cpANF6zMBoFoxkoIjZHjv,https://api.spotify.com/v1/tracks/1cpANF6zMBoFoxkoIjZHjv,https://api.spotify.com/v1/audio-analysis/1cpANF6zMBoFoxkoIjZHjv,324200,3,,https://i.scdn.co/image/ab67616d0000b2731a05b72d0e1fc7a4e30d047d,Skating In Central Park,Bill Evans
0.464,0.305,3,-12.435,0,0.0316,0.936,0.0846,0.208,0.282,108.229,audio_features,0E8q2Fx2XuzXCO2NSAppkR,https://api.spotify.com/v1/tracks/0E8q2Fx2XuzXCO2NSAppkR,https://api.spotify.com/v1/audio-analysis/0E8q2Fx2XuzXCO2NSAppkR,255227,4,,https://i.scdn.co/image/ab67616d0000b2732def9ef3f6a82c8d6fd8c143,In A Sentimental Mood,Duke Ellington
0.465,0.35,3,-12.977,1,0.0403,0.41,0.279,0.135,0.62,93.336,audio_features,6YYu8qFzcY1ZyzzsJIQM12,https://api.spotify.com/v1/tracks/6YYu8qFzcY1ZyzzsJIQM12,https://api.spotify.com/v1/audio-analysis/6YYu8qFzcY1ZyzzsJIQM12,688133,4,https://p.scdn.co/mp3-preview/46969cfb4333e80d2fb14f4e6f36993ce65ea16b?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b273402a4c99daa9d7daaf636aa5,"Straight, No Chaser",Thelonious Monk
0.467,0.459,0,-9.706,0,0.0305,0.719,0.00312,0.0944,0.178,124.379,audio_features,0T1EaGm6b9eM7xBf4F1hlc,https://api.spotify.com/v1/tracks/0T1EaGm6b9eM7xBf4F1hlc,https://api.spotify.com/v1/audio-analysis/0T1EaGm6b9eM7xBf4F1hlc,477093,4,,https://i.scdn.co/image/ab67616d0000b27344e77f19a8f35955870d4907,Maiden Voyage - Remastered 1999/Rudy Van Gelder Edition,Herbie Hancock
0.454,0.26,8,-13.193,0,0.0401,0.539,0.00078,0.0675,0.598,174.322,audio_features,1YQWosTIljIvxAgHWTp7KP,https://api.spotify.com/v1/tracks/1YQWosTIljIvxAgHWTp7KP,https://api.spotify.com/v1/audio-analysis/1YQWosTIljIvxAgHWTp7KP,324133,5,https://p.scdn.co/mp3-preview/e07188169190e5892b6425d0ddae3673d375427d?cid=718b8cfaa2a44b50bc178452e14878ec,https://i.scdn.co/image/ab67616d0000b27300ace5d3c5bffc123ef1eb51,Take Five,The Dave Brubeck Quartet
